품목코드,총중량_전창고합계(중량×재고수량)
1025424,120
120082,912
120084,352
1217110,288
1217110-EA,15
124417,10000
1261110,972
1261110-EA,78
1278110,708
1278110-EA,3
1343200-EA,6
1344018,1000
1344096,3820
1344110,540
134962,-40
135390,190
135421,-1456
135437-1,118
135477,832
136132,160
136132-P5,0
1363096,120
138890,260
139029,3600
139030,1380
139066,340
139593,800
139600,260
139882,276
139883,756
139949-1,0
140059,180
140094,1200
140107,416
140140,1536
140206,870
140252,192
140252-2,400
140254,192
140255,192
140255-1,64
140256,464
140259,720
140263,1696
140263-3,64
140382,4576
140383,840
140597,684
140597-EA,27
140618,30
140677,880
140854,1640
140895,-48
140909-EA,4
141429,2958
141592,1904
141593,0
141626-EA,6
141654,160
141655,1400
141737,740
141738,2400
141741,1720
141741-1,940
141742,1800
141742-1,5000
141745,2260
141745-1,1420
141746,8600
141746-1,4600
141750,1580
141751,2000
141874,100
142012,1060
142039-EA,10
142288,1610
142722,2000
1428068,16
142955,-800
142956,1344
142957,2640
143066,2112
143194,400
143195,400
143196,1200
143201,800
143202,6200
143206,2400
143207,996
143207-EA,73
143209,984
143210,468
143211,168
143212,180
143219,352
143221,2016
143222,1920
143227,32
143228,1320
143230,3040
143231,3640
143232,6800
143233,176
143234,2660
143235,1600
143237,6920
143238,1400
143240,96
143241,380
143242,624
143248,920
143249,1600
143250,1800
143251,2600
143391-P3,6048
143396,2394
143397,396
143398,2664
143518,-12
143533,948
143533-EA,39
143535,3948
143753,1116
143753-EA,-27
143789,800
143891,1104
143891-EA,108
143901,9200
143902,3220
143903,544
143919,470
143983,340
143991,840
144160,2664
144165,4780
144166,11800
144166-P3,692
144166-P4,452
144167,6560
144168,59800
144169,6780
144170,30800
144185,360
144186,200
144187,3780
144188,192
144219,200
144220,2268
144220-ea,81
144255,2652
144255-EA,-57
144256,1000
144506,1440
144507,2440
144508,26000
144513,416
144514,-416
144531,940
144532,26800
145419,1104
145991,240
146703,400
147122,4560
147133,800
147284,22880
147379,1440
147391,39728
147705,528
147829,936
147958,1440
147958-EA,26
147961,5196
147963,900
147963-EA,28
147988,1400
147989,688
147999,4200
148326,444
148326-EA,8
148383,2724
148384,1836
148385,2952
148692,6468
148789,9776
1713361,8
1713380,0
1713414,9
1713945,0
1713947,4
2026/04/17  오후 2:14:34,0
2070042,5200
2579018-P3,444
2579888,4000
2593096,320
2593110,192
2593110-EA,-12
2596018,200
2596096,200
2599018,800
2599096,920
2600018,200
2600096,100
2605018-P1,500
2605096,500
2608018-P3,588
2608019,400
2608096,1120
2608097,5720
2618096,360
2647018,800
2647019,400
2647096,2040
2648018,600
2648019,3400
2648096,1120
2649019,1200
2668096,340
2669018,1200
2669096,100
2670018,1000
2779110-EA,-1
2782110-EA,1
2812110,-12
3064018,600
3065018,200
3130096,660
3234068,176
3247068,128
3249220,96
3252068,48
3253068,48
3253069,192
3254068,192
3255068,208
3259220,96
3260029,18
3264036,900
3280068,288
3281068,80
4323019,4000
4333018,2800
4333096,1480
4345096,140
4365042,11440
4365043,2912
4371018,400
4371096,60
4375018,600
4375096,260
4375097,1040
4402043,3328
4404019,2000
4404097,20
4405019,1400
4406019,400
4419042,208
4420042,416
4420096,80
4434018,2400
4435018,2600
4440018,-200
4440019,400
4440096,660
4441018,400
4441096,400
4443020,800
4443021,1800
4443096,320
4443097,1020
4444018,-600
4444019,600
4444020,800
4444096,260
4444097,120
4449197,38
4452096,120
4453096,180
4454042-P,680
4454042-R,0
4454044,1456
4454096,160
4459019,5200
4464096,460
4465018,200
4465096,1400
4465097,620
4466018,600
4466096,520
4466097,1200
4467042,1040
4467197,266
4468096,40
4469096,40
4470096,220
4472096,420
4473197,19
4475042,208
4475197,798
4476042,416
4476197,228
4476198,304
4477043,416
4478042,1664
4478043,3120
4479043,1040
4479097,480
4481097,220
4482197,228
4482198,513
4485018,1400
4485096,1460
4486018,19600
4486019,3000
4486096,13740
4487018,8800
4487096,5800
4490018,400
4490096,1360
4491018,800
4491096,4520
4493018,3400
4494018,3000
4494096,120
4498096,220
4498097,1120
4499018,200
4499019,400
4499096,420
4499097,140
4500018,800
4500019,200
4500020,1600
4500096,2340
4500097,1860
4501020,800
4501021,200
4501096,1500
4501097,1540
4502197,19
4515308,17
4516019,800
4516096,1160
4518018,600
4518019,5200
4532019,1000
4532096,620
4600018,600
4600019,2400
4600097,620
4613096,220
4630068,384
4631096,180
4789018,400
4790096,500
4791018,-600
4791019,1800
4791096,560
4792018,-1000
4792020,2600
4792096,2000
4793018,-400
4793019,600
4793020,1600
4793096,300
4793097,320
4793098,340
4794018,200
4794019,1400
4794020,200
4794096,1000
4795018,200
4795019,600
4795096,240
4796096,320
4873097,540
