품목코드,창고코드,재고수량,중량,총중량(중량×재고수량)
1025424-EA,02,8,0.475,3.8
1261110,02,73,12,876
1261110,15,3,12,36
1261110,40,2,12,24
1261110,42,2,12,24
1261110-EA,02,7,1,7
1278110,02,82,12,984
1278110,14,-13,12,-156
1278110,15,2,12,24
1278110,40,2,12,24
1278110,41,1,12,12
1344018,02,1,200,200
1344096,02,31,20,620
1344096,34,-1,20,-20
1344096,40,3,20,60
1344096,41,1,20,20
1344096,42,2,20,40
1344110,02,4,12,48
139881,02,2,200,400
139882,02,6,12,72
139883,02,58,18,1044
139883,14,1,18,18
140094,02,3,200,600
140140,02,2,16,32
140382,02,1,208,208
140383,02,23,20,460
140597,02,44,12,528
140597,15,1,12,12
140597,40,1,12,12
140597,41,1,12,12
140597,42,1,12,12
140618,02,5,6,30
141592,02,11,16,176
141592,34,1,16,16
141593,02,2,200,400
141874,02,3,20,60
141874,14,1,20,20
142227,02,11,200,2200
142227,34,-1,200,-200
143194,02,1,200,200
143196,02,2,200,400
143201,02,1,200,200
143201,41,1,200,200
143202,02,3,200,600
143206,02,1,200,200
143206,15,1,200,200
143206,41,2,200,400
143207,02,148,12,1776
143207,14,-24,12,-288
143207,15,2,12,24
143207,34,-98,12,-1176
143207,40,3,12,36
143207,42,2,12,24
143207-EA,02,4,1,4
143209,02,54,12,648
143209,15,2,12,24
143209,40,2,12,24
143209,42,2,12,24
143210,02,24,12,288
143210,34,-1,12,-12
143210,40,1,12,12
143211,02,15,12,180
143212,02,18,12,216
143219,02,44,16,704
143221,02,55,16,880
143221,14,1,16,16
143221,15,2,16,32
143221,40,2,16,32
143228,02,7,20,140
143230,02,37,16,592
143231,02,75,20,1500
143231,34,-190,20,-3800
143232,02,9,200,1800
143233,02,13,16,208
143234,02,20,20,400
143234,34,-126,20,-2520
143235,02,3,200,600
143236,02,30,16,480
143237,02,21,20,420
143241,02,7,20,140
143241,14,1,20,20
143242,02,2,208,416
143248,02,5,20,100
143250,02,1,200,200
143331,02,20,20,400
143332,02,1,200,200
143396,02,29,18,522
143396,15,11,18,198
143396,40,1,18,18
143397,02,45,18,810
143397,14,2,18,36
143398,02,58,18,1044
143398,14,7,18,126
143398,15,8,18,144
143398,34,-1,18,-18
143398,41,1,18,18
143398,42,4,18,72
143398-ea,34,-7,0,0
143533,02,9,12,108
143533,14,-9,12,-108
143533,40,1,12,12
143533,42,1,12,12
143753,02,108,12,1296
143753,14,-11,12,-132
143753,15,6,12,72
143753,34,-264,12,-3168
143753,40,4,12,48
143753,41,1,12,12
143753,42,37,12,444
143753-EA,02,1,1,1
143789,02,2,200,400
143891,02,67,12,804
143891,34,1,12,12
143891,40,1,12,12
143891,42,2,12,24
143901,02,5,200,1000
143901,34,-4,200,-800
143902,02,60,20,1200
143902,34,-336,20,-6720
143903,02,18,16,288
144185,02,24,20,480
144185,15,1,20,20
144185,40,1,20,20
144185,42,3,20,60
144187,02,55,20,1100
144187,14,2,20,40
144187,15,-12,20,-240
144187,40,2,20,40
144187,41,3,20,60
144187,42,2,20,40
144188,02,11,12,132
144220,02,43,12,516
144220,14,2,12,24
144220,40,8,12,96
144220,41,2,12,24
144220,42,1,12,12
144220-ea,02,5,1,5
144255,02,79,12,948
144255,14,2,12,24
144255,15,4,12,48
144255,34,4,12,48
144255,40,3,12,36
144255,41,4,12,48
144255,42,5,12,60
144255-EA,02,3,1,3
144255-EA,34,-2,1,-2
144256,02,3,200,600
144256,34,-10,200,-2000
144506,02,63,16,1008
144506,14,2,16,32
144506,41,3,16,48
144507,02,55,20,1100
144507,14,1,20,20
144508,02,10,200,2000
144508,34,-7,200,-1400
144531,02,20,20,400
144531,14,3,20,60
144532,02,4,200,800
145419,02,1,16,16
145476,02,6,12,72
147958,02,103,12,1236
147958,15,2,12,24
147958,41,1,12,12
147958,42,1,12,12
147963,02,67,12,804
147963,15,1,12,12
147963,40,2,12,24
147987,02,1,200,200
147988,02,22,20,440
